 Variant= 
 b
  1  2  3  4
 A
  5.50000 -2.60000  1.00000 -1.70000
 -2.60000  7.50000 -2.50000 -0.40000
  1.00000 -2.50000  0.90000  0.40000
 -1.70000 -0.40000  0.40000  4.90000
 Решение прямым методом квадратного корня 
 x*
  -4.27547946212065  26.9193180983173  85.2733485193622  -5.43059739878021
 Норма матрицы=10.08864
 Метод простой итерации
                        |   Норма   | Норма      |  Оценка   |
 Itr    |  tau |  q     |  невязки  |погрешности |Погрешности|    x[1]    x[2]     x[3]    x[4]
650   | 0.1784 |  0.994 | 0.0101139 |  0.2916376 | 0.2916376 | -4.18636 26.45628 83.77939 -5.31471 
651   | 0.1784 |  0.994 | 0.0100517 |  0.2898442 | 0.2898442 | -4.18691 26.45913 83.78858 -5.31542 
652   | 0.1784 |  0.994 | 0.0099899 |  0.2880618 | 0.2880618 | -4.18746 26.46196 83.79771 -5.31613 
653   | 0.1784 |  0.994 | 0.0099285 |  0.2862904 | 0.2862904 | -4.18800 26.46477 83.80678 -5.31683 
654   | 0.1784 |  0.994 | 0.0098674 |  0.2845298 | 0.2845298 | -4.18854 26.46756 83.81580 -5.31753 
655   | 0.1784 |  0.994 | 0.0098067 |  0.2827801 | 0.2827801 | -4.18907 26.47034 83.82476 -5.31823 
656   | 0.1784 |  0.994 | 0.0097464 |  0.2810412 | 0.2810412 | -4.18960 26.47310 83.83367 -5.31892 
657   | 0.1784 |  0.994 | 0.0096865 |  0.2793129 | 0.2793129 | -4.19013 26.47585 83.84252 -5.31961 
658   | 0.1784 |  0.994 | 0.0096269 |  0.2775953 | 0.2775953 | -4.19065 26.47857 83.85132 -5.32029 
659   | 0.1784 |  0.994 | 0.0095677 |  0.2758883 | 0.2758883 | -4.19118 26.48128 83.86007 -5.32097 
660   | 0.1784 |  0.994 | 0.0095089 |  0.2741917 | 0.2741917 | -4.19169 26.48398 83.86876 -5.32164 
661   | 0.1784 |  0.994 | 0.0094504 |  0.2725056 | 0.2725056 | -4.19221 26.48665 83.87740 -5.32231 
662   | 0.1784 |  0.994 | 0.0093923 |  0.2708298 | 0.2708298 | -4.19272 26.48932 83.88598 -5.32298 
663   | 0.1784 |  0.994 | 0.0093345 |  0.2691644 | 0.2691644 | -4.19323 26.49196 83.89451 -5.32364 
664   | 0.1784 |  0.994 | 0.0092771 |  0.2675092 | 0.2675092 | -4.19374 26.49459 83.90299 -5.32430 
665   | 0.1784 |  0.994 | 0.0092201 |  0.2658641 | 0.2658641 | -4.19424 26.49720 83.91142 -5.32495 
666   | 0.1784 |  0.994 | 0.0091634 |  0.2642292 | 0.2642292 | -4.19474 26.49980 83.91979 -5.32560 
667   | 0.1784 |  0.994 | 0.0091070 |  0.2626044 | 0.2626044 | -4.19523 26.50237 83.92812 -5.32624 
668   | 0.1784 |  0.994 | 0.0090510 |  0.2609895 | 0.2609895 | -4.19573 26.50494 83.93639 -5.32689 
669   | 0.1784 |  0.994 | 0.0089954 |  0.2593845 | 0.2593845 | -4.19622 26.50749 83.94461 -5.32752 
670   | 0.1784 |  0.994 | 0.0089401 |  0.2577895 | 0.2577895 | -4.19671 26.51002 83.95278 -5.32816 
671   | 0.1784 |  0.994 | 0.0088851 |  0.2562042 | 0.2562042 | -4.19719 26.51254 83.96090 -5.32879 
672   | 0.1784 |  0.994 | 0.0088304 |  0.2546287 | 0.2546287 | -4.19767 26.51504 83.96897 -5.32941 
673   | 0.1784 |  0.994 | 0.0087761 |  0.2530629 | 0.2530629 | -4.19815 26.51752 83.97699 -5.33004 
674   | 0.1784 |  0.994 | 0.0087222 |  0.2515067 | 0.2515067 | -4.19863 26.52000 83.98497 -5.33065 
675   | 0.1784 |  0.994 | 0.0086685 |  0.2499600 | 0.2499600 | -4.19910 26.52245 83.99289 -5.33127 
676   | 0.1784 |  0.994 | 0.0086152 |  0.2484229 | 0.2484229 | -4.19957 26.52489 84.00076 -5.33188 
677   | 0.1784 |  0.994 | 0.0085622 |  0.2468953 | 0.2468953 | -4.20004 26.52732 84.00859 -5.33249 
678   | 0.1784 |  0.994 | 0.0085096 |  0.2453770 | 0.2453770 | -4.20050 26.52973 84.01637 -5.33309 
679   | 0.1784 |  0.994 | 0.0084573 |  0.2438681 | 0.2438681 | -4.20096 26.53212 84.02410 -5.33369 
680   | 0.1784 |  0.994 | 0.0084053 |  0.2423684 | 0.2423684 | -4.20142 26.53450 84.03178 -5.33429 
681   | 0.1784 |  0.994 | 0.0083536 |  0.2408780 | 0.2408780 | -4.20187 26.53687 84.03941 -5.33488 
682   | 0.1784 |  0.994 | 0.0083022 |  0.2393967 | 0.2393967 | -4.20233 26.53922 84.04700 -5.33547 
683   | 0.1784 |  0.994 | 0.0082511 |  0.2379246 | 0.2379246 | -4.20278 26.54156 84.05454 -5.33605 
684   | 0.1784 |  0.994 | 0.0082004 |  0.2364615 | 0.2364615 | -4.20322 26.54388 84.06204 -5.33663 
685   | 0.1784 |  0.994 | 0.0081500 |  0.2350073 | 0.2350073 | -4.20367 26.54619 84.06949 -5.33721 
686   | 0.1784 |  0.994 | 0.0080999 |  0.2335622 | 0.2335622 | -4.20411 26.54849 84.07689 -5.33779 
687   | 0.1784 |  0.994 | 0.0080500 |  0.2321259 | 0.2321259 | -4.20455 26.55077 84.08425 -5.33836 
688   | 0.1784 |  0.994 | 0.0080005 |  0.2306985 | 0.2306985 | -4.20498 26.55303 84.09156 -5.33892 
689   | 0.1784 |  0.994 | 0.0079513 |  0.2292798 | 0.2292798 | -4.20542 26.55529 84.09883 -5.33949 
690   | 0.1784 |  0.994 | 0.0079025 |  0.2278698 | 0.2278698 | -4.20585 26.55752 84.10605 -5.34005 
691   | 0.1784 |  0.994 | 0.0078539 |  0.2264686 | 0.2264686 | -4.20628 26.55975 84.11323 -5.34060 
692   | 0.1784 |  0.994 | 0.0078056 |  0.2250759 | 0.2250759 | -4.20670 26.56196 84.12036 -5.34116 
693   | 0.1784 |  0.994 | 0.0077576 |  0.2236918 | 0.2236918 | -4.20713 26.56416 84.12745 -5.34171 
694   | 0.1784 |  0.994 | 0.0077099 |  0.2223162 | 0.2223162 | -4.20755 26.56634 84.13450 -5.34225 
695   | 0.1784 |  0.994 | 0.0076624 |  0.2209491 | 0.2209491 | -4.20796 26.56851 84.14150 -5.34280 
696   | 0.1784 |  0.994 | 0.0076153 |  0.2195904 | 0.2195904 | -4.20838 26.57067 84.14846 -5.34334 
697   | 0.1784 |  0.994 | 0.0075685 |  0.2182401 | 0.2182401 | -4.20879 26.57281 84.15538 -5.34387 
698   | 0.1784 |  0.994 | 0.0075220 |  0.2168980 | 0.2168980 | -4.20920 26.57494 84.16225 -5.34441 
699   | 0.1784 |  0.994 | 0.0074757 |  0.2155642 | 0.2155642 | -4.20961 26.57706 84.16909 -5.34494 
700   | 0.1784 |  0.994 | 0.0074297 |  0.2142386 | 0.2142386 | -4.21001 26.57917 84.17588 -5.34546 
701   | 0.1784 |  0.994 | 0.0073840 |  0.2129211 | 0.2129211 | -4.21042 26.58126 84.18263 -5.34599 
702   | 0.1784 |  0.994 | 0.0073386 |  0.2116118 | 0.2116118 | -4.21082 26.58334 84.18933 -5.34651 
703   | 0.1784 |  0.994 | 0.0072935 |  0.2103105 | 0.2103105 | -4.21121 26.58540 84.19600 -5.34703 
704   | 0.1784 |  0.994 | 0.0072486 |  0.2090172 | 0.2090172 | -4.21161 26.58746 84.20263 -5.34754 
705   | 0.1784 |  0.994 | 0.0072041 |  0.2077319 | 0.2077319 | -4.21200 26.58950 84.20921 -5.34805 
706   | 0.1784 |  0.994 | 0.0071598 |  0.2064544 | 0.2064544 | -4.21239 26.59153 84.21575 -5.34856 
707   | 0.1784 |  0.994 | 0.0071157 |  0.2051849 | 0.2051849 | -4.21278 26.59354 84.22226 -5.34906 
708   | 0.1784 |  0.994 | 0.0070720 |  0.2039231 | 0.2039231 | -4.21317 26.59554 84.22872 -5.34956 
709   | 0.1784 |  0.994 | 0.0070285 |  0.2026691 | 0.2026691 | -4.21355 26.59754 84.23514 -5.35006 
710   | 0.1784 |  0.994 | 0.0069853 |  0.2014228 | 0.2014228 | -4.21393 26.59951 84.24153 -5.35056 
711   | 0.1784 |  0.994 | 0.0069423 |  0.2001841 | 0.2001841 | -4.21431 26.60148 84.24787 -5.35105 
712   | 0.1784 |  0.994 | 0.0068996 |  0.1989531 | 0.1989531 | -4.21468 26.60344 84.25418 -5.35154 
713   | 0.1784 |  0.994 | 0.0068572 |  0.1977297 | 0.1977297 | -4.21506 26.60538 84.26045 -5.35202 
714   | 0.1784 |  0.994 | 0.0068150 |  0.1965137 | 0.1965137 | -4.21543 26.60731 84.26668 -5.35251 
715   | 0.1784 |  0.994 | 0.0067731 |  0.1953053 | 0.1953053 | -4.21580 26.60923 84.27287 -5.35299 
716   | 0.1784 |  0.994 | 0.0067315 |  0.1941043 | 0.1941043 | -4.21617 26.61113 84.27902 -5.35347 
717   | 0.1784 |  0.994 | 0.0066901 |  0.1929106 | 0.1929106 | -4.21653 26.61303 84.28513 -5.35394 
718   | 0.1784 |  0.994 | 0.0066489 |  0.1917243 | 0.1917243 | -4.21689 26.61491 84.29121 -5.35441 
719   | 0.1784 |  0.994 | 0.0066080 |  0.1905453 | 0.1905453 | -4.21725 26.61678 84.29725 -5.35488 
720   | 0.1784 |  0.994 | 0.0065674 |  0.1893736 | 0.1893736 | -4.21761 26.61865 84.30325 -5.35534 
721   | 0.1784 |  0.994 | 0.0065270 |  0.1882090 | 0.1882090 | -4.21797 26.62049 84.30922 -5.35581 
722   | 0.1784 |  0.994 | 0.0064869 |  0.1870517 | 0.1870517 | -4.21832 26.62233 84.31515 -5.35627 
723   | 0.1784 |  0.994 | 0.0064470 |  0.1859014 | 0.1859014 | -4.21867 26.62416 84.32104 -5.35672 
724   | 0.1784 |  0.994 | 0.0064074 |  0.1847582 | 0.1847582 | -4.21902 26.62597 84.32690 -5.35718 
725   | 0.1784 |  0.994 | 0.0063680 |  0.1836221 | 0.1836221 | -4.21937 26.62778 84.33272 -5.35763 
726   | 0.1784 |  0.994 | 0.0063288 |  0.1824929 | 0.1824929 | -4.21971 26.62957 84.33850 -5.35808 
727   | 0.1784 |  0.994 | 0.0062899 |  0.1813706 | 0.1813706 | -4.22006 26.63135 84.34425 -5.35853 
728   | 0.1784 |  0.994 | 0.0062512 |  0.1802553 | 0.1802553 | -4.22040 26.63312 84.34996 -5.35897 
729   | 0.1784 |  0.994 | 0.0062128 |  0.1791468 | 0.1791468 | -4.22074 26.63488 84.35564 -5.35941 
730   | 0.1784 |  0.994 | 0.0061745 |  0.1780452 | 0.1780452 | -4.22107 26.63663 84.36128 -5.35985 
731   | 0.1784 |  0.994 | 0.0061366 |  0.1769503 | 0.1769503 | -4.22141 26.63837 84.36689 -5.36028 
732   | 0.1784 |  0.994 | 0.0060988 |  0.1758622 | 0.1758622 | -4.22174 26.64010 84.37247 -5.36071 
733   | 0.1784 |  0.994 | 0.0060613 |  0.1747807 | 0.1747807 | -4.22207 26.64181 84.37801 -5.36114 
734   | 0.1784 |  0.994 | 0.0060241 |  0.1737059 | 0.1737059 | -4.22240 26.64352 84.38351 -5.36157 
735   | 0.1784 |  0.994 | 0.0059870 |  0.1726377 | 0.1726377 | -4.22273 26.64522 84.38898 -5.36200 
736   | 0.1784 |  0.994 | 0.0059502 |  0.1715761 | 0.1715761 | -4.22305 26.64690 84.39442 -5.36242 
737   | 0.1784 |  0.994 | 0.0059136 |  0.1705210 | 0.1705210 | -4.22337 26.64858 84.39983 -5.36284 
738   | 0.1784 |  0.994 | 0.0058772 |  0.1694724 | 0.1694724 | -4.22369 26.65024 84.40520 -5.36325 
739   | 0.1784 |  0.994 | 0.0058411 |  0.1684302 | 0.1684302 | -4.22401 26.65190 84.41054 -5.36367 
740   | 0.1784 |  0.994 | 0.0058052 |  0.1673945 | 0.1673945 | -4.22433 26.65354 84.41584 -5.36408 
741   | 0.1784 |  0.994 | 0.0057695 |  0.1663651 | 0.1663651 | -4.22464 26.65518 84.42112 -5.36449 
742   | 0.1784 |  0.994 | 0.0057340 |  0.1653420 | 0.1653420 | -4.22496 26.65680 84.42636 -5.36489 
743   | 0.1784 |  0.994 | 0.0056987 |  0.1643253 | 0.1643253 | -4.22527 26.65841 84.43157 -5.36530 
744   | 0.1784 |  0.994 | 0.0056637 |  0.1633148 | 0.1633148 | -4.22558 26.66002 84.43674 -5.36570 
745   | 0.1784 |  0.994 | 0.0056289 |  0.1623105 | 0.1623105 | -4.22588 26.66161 84.44189 -5.36610 
746   | 0.1784 |  0.994 | 0.0055943 |  0.1613123 | 0.1613123 | -4.22619 26.66320 84.44700 -5.36650 
747   | 0.1784 |  0.994 | 0.0055599 |  0.1603204 | 0.1603204 | -4.22649 26.66477 84.45208 -5.36689 
748   | 0.1784 |  0.994 | 0.0055257 |  0.1593345 | 0.1593345 | -4.22679 26.66634 84.45713 -5.36728 
749   | 0.1784 |  0.994 | 0.0054917 |  0.1583547 | 0.1583547 | -4.22709 26.66789 84.46215 -5.36767 
750   | 0.1784 |  0.994 | 0.0054579 |  0.1573809 | 0.1573809 | -4.22739 26.66944 84.46714 -5.36806 
751   | 0.1784 |  0.994 | 0.0054244 |  0.1564131 | 0.1564131 | -4.22768 26.67098 84.47210 -5.36844 
752   | 0.1784 |  0.994 | 0.0053910 |  0.1554512 | 0.1554512 | -4.22798 26.67250 84.47703 -5.36882 
753   | 0.1784 |  0.994 | 0.0053578 |  0.1544953 | 0.1544953 | -4.22827 26.67402 84.48192 -5.36920 
754   | 0.1784 |  0.994 | 0.0053249 |  0.1535452 | 0.1535452 | -4.22856 26.67553 84.48679 -5.36958 
755   | 0.1784 |  0.994 | 0.0052922 |  0.1526010 | 0.1526010 | -4.22885 26.67703 84.49163 -5.36996 
756   | 0.1784 |  0.994 | 0.0052596 |  0.1516626 | 0.1516626 | -4.22914 26.67852 84.49643 -5.37033 
757   | 0.1784 |  0.994 | 0.0052273 |  0.1507299 | 0.1507299 | -4.22942 26.68000 84.50121 -5.37070 
758   | 0.1784 |  0.994 | 0.0051951 |  0.1498030 | 0.1498030 | -4.22970 26.68147 84.50596 -5.37107 
759   | 0.1784 |  0.994 | 0.0051632 |  0.1488818 | 0.1488818 | -4.22999 26.68293 84.51068 -5.37144 
760   | 0.1784 |  0.994 | 0.0051314 |  0.1479663 | 0.1479663 | -4.23027 26.68439 84.51537 -5.37180 
761   | 0.1784 |  0.994 | 0.0050999 |  0.1470564 | 0.1470564 | -4.23054 26.68583 84.52003 -5.37216 
762   | 0.1784 |  0.994 | 0.0050685 |  0.1461521 | 0.1461521 | -4.23082 26.68727 84.52466 -5.37252 
763   | 0.1784 |  0.994 | 0.0050373 |  0.1452533 | 0.1452533 | -4.23109 26.68870 84.52927 -5.37288 
764   | 0.1784 |  0.994 | 0.0050064 |  0.1443601 | 0.1443601 | -4.23137 26.69011 84.53384 -5.37323 
765   | 0.1784 |  0.994 | 0.0049756 |  0.1434724 | 0.1434724 | -4.23164 26.69152 84.53839 -5.37358 
766   | 0.1784 |  0.994 | 0.0049450 |  0.1425901 | 0.1425901 | -4.23191 26.69292 84.54291 -5.37394 
767   | 0.1784 |  0.994 | 0.0049146 |  0.1417132 | 0.1417132 | -4.23218 26.69432 84.54740 -5.37428 
768   | 0.1784 |  0.994 | 0.0048843 |  0.1408418 | 0.1408418 | -4.23244 26.69570 84.55186 -5.37463 
769   | 0.1784 |  0.994 | 0.0048543 |  0.1399757 | 0.1399757 | -4.23271 26.69708 84.55630 -5.37497 
770   | 0.1784 |  0.994 | 0.0048245 |  0.1391149 | 0.1391149 | -4.23297 26.69844 84.56071 -5.37532 
771   | 0.1784 |  0.994 | 0.0047948 |  0.1382594 | 0.1382594 | -4.23323 26.69980 84.56509 -5.37566 
772   | 0.1784 |  0.994 | 0.0047653 |  0.1374092 | 0.1374092 | -4.23349 26.70115 84.56945 -5.37599 
773   | 0.1784 |  0.994 | 0.0047360 |  0.1365642 | 0.1365642 | -4.23375 26.70249 84.57378 -5.37633 
774   | 0.1784 |  0.994 | 0.0047069 |  0.1357244 | 0.1357244 | -4.23401 26.70383 84.57808 -5.37666 
775   | 0.1784 |  0.994 | 0.0046779 |  0.1348898 | 0.1348898 | -4.23426 26.70515 84.58235 -5.37700 
776   | 0.1784 |  0.994 | 0.0046492 |  0.1340603 | 0.1340603 | -4.23451 26.70647 84.58660 -5.37733 
777   | 0.1784 |  0.994 | 0.0046206 |  0.1332359 | 0.1332359 | -4.23477 26.70778 84.59083 -5.37765 
778   | 0.1784 |  0.994 | 0.0045922 |  0.1324166 | 0.1324166 | -4.23502 26.70908 84.59502 -5.37798 
779   | 0.1784 |  0.994 | 0.0045639 |  0.1316023 | 0.1316023 | -4.23527 26.71037 84.59920 -5.37830 
780   | 0.1784 |  0.994 | 0.0045359 |  0.1307930 | 0.1307930 | -4.23551 26.71165 84.60334 -5.37862 
781   | 0.1784 |  0.994 | 0.0045080 |  0.1299887 | 0.1299887 | -4.23576 26.71293 84.60746 -5.37894 
782   | 0.1784 |  0.994 | 0.0044802 |  0.1291893 | 0.1291893 | -4.23600 26.71420 84.61156 -5.37926 
783   | 0.1784 |  0.994 | 0.0044527 |  0.1283949 | 0.1283949 | -4.23625 26.71546 84.61563 -5.37958 
784   | 0.1784 |  0.994 | 0.0044253 |  0.1276053 | 0.1276053 | -4.23649 26.71672 84.61967 -5.37989 
785   | 0.1784 |  0.994 | 0.0043981 |  0.1268206 | 0.1268206 | -4.23673 26.71796 84.62369 -5.38020 
786   | 0.1784 |  0.994 | 0.0043711 |  0.1260408 | 0.1260408 | -4.23696 26.71920 84.62768 -5.38051 
787   | 0.1784 |  0.994 | 0.0043442 |  0.1252657 | 0.1252657 | -4.23720 26.72043 84.63166 -5.38082 
788   | 0.1784 |  0.994 | 0.0043175 |  0.1244954 | 0.1244954 | -4.23744 26.72165 84.63560 -5.38113 
789   | 0.1784 |  0.994 | 0.0042909 |  0.1237298 | 0.1237298 | -4.23767 26.72287 84.63952 -5.38143 
790   | 0.1784 |  0.994 | 0.0042645 |  0.1229689 | 0.1229689 | -4.23790 26.72408 84.64342 -5.38173 
791   | 0.1784 |  0.994 | 0.0042383 |  0.1222127 | 0.1222127 | -4.23813 26.72528 84.64729 -5.38203 
792   | 0.1784 |  0.994 | 0.0042122 |  0.1214612 | 0.1214612 | -4.23836 26.72647 84.65114 -5.38233 
793   | 0.1784 |  0.994 | 0.0041863 |  0.1207143 | 0.1207143 | -4.23859 26.72766 84.65497 -5.38263 
794   | 0.1784 |  0.994 | 0.0041606 |  0.1199719 | 0.1199719 | -4.23882 26.72884 84.65877 -5.38292 
795   | 0.1784 |  0.994 | 0.0041350 |  0.1192342 | 0.1192342 | -4.23904 26.73001 84.66255 -5.38322 
796   | 0.1784 |  0.994 | 0.0041096 |  0.1185010 | 0.1185010 | -4.23927 26.73117 84.66631 -5.38351 
797   | 0.1784 |  0.994 | 0.0040843 |  0.1177722 | 0.1177722 | -4.23949 26.73233 84.67004 -5.38380 
798   | 0.1784 |  0.994 | 0.0040592 |  0.1170480 | 0.1170480 | -4.23971 26.73348 84.67375 -5.38409 
799   | 0.1784 |  0.994 | 0.0040342 |  0.1163282 | 0.1163282 | -4.23993 26.73462 84.67744 -5.38437 
800   | 0.1784 |  0.994 | 0.0040094 |  0.1156129 | 0.1156129 | -4.24015 26.73576 84.68110 -5.38466 
801   | 0.1784 |  0.994 | 0.0039848 |  0.1149019 | 0.1149019 | -4.24037 26.73689 84.68475 -5.38494 
802   | 0.1784 |  0.994 | 0.0039603 |  0.1141953 | 0.1141953 | -4.24058 26.73801 84.68837 -5.38522 
803   | 0.1784 |  0.994 | 0.0039359 |  0.1134931 | 0.1134931 | -4.24080 26.73912 84.69196 -5.38550 
804   | 0.1784 |  0.994 | 0.0039117 |  0.1127952 | 0.1127952 | -4.24101 26.74023 84.69554 -5.38578 
805   | 0.1784 |  0.994 | 0.0038876 |  0.1121015 | 0.1121015 | -4.24122 26.74133 84.69909 -5.38605 
806   | 0.1784 |  0.994 | 0.0038637 |  0.1114122 | 0.1114122 | -4.24144 26.74243 84.70262 -5.38632 
807   | 0.1784 |  0.994 | 0.0038400 |  0.1107271 | 0.1107271 | -4.24164 26.74351 84.70613 -5.38660 
808   | 0.1784 |  0.994 | 0.0038164 |  0.1100462 | 0.1100462 | -4.24185 26.74460 84.70962 -5.38687 
809   | 0.1784 |  0.994 | 0.0037929 |  0.1093694 | 0.1093694 | -4.24206 26.74567 84.71309 -5.38714 
810   | 0.1784 |  0.994 | 0.0037696 |  0.1086969 | 0.1086969 | -4.24226 26.74674 84.71653 -5.38740 
811   | 0.1784 |  0.994 | 0.0037464 |  0.1080284 | 0.1080284 | -4.24247 26.74780 84.71996 -5.38767 
812   | 0.1784 |  0.994 | 0.0037234 |  0.1073641 | 0.1073641 | -4.24267 26.74885 84.72336 -5.38793 
813   | 0.1784 |  0.994 | 0.0037005 |  0.1067039 | 0.1067039 | -4.24287 26.74990 84.72674 -5.38820 
814   | 0.1784 |  0.994 | 0.0036777 |  0.1060477 | 0.1060477 | -4.24307 26.75094 84.73010 -5.38846 
815   | 0.1784 |  0.994 | 0.0036551 |  0.1053956 | 0.1053956 | -4.24327 26.75198 84.73344 -5.38872 
816   | 0.1784 |  0.994 | 0.0036326 |  0.1047475 | 0.1047475 | -4.24347 26.75301 84.73676 -5.38897 
817   | 0.1784 |  0.994 | 0.0036103 |  0.1041033 | 0.1041033 | -4.24367 26.75403 84.74006 -5.38923 
818   | 0.1784 |  0.994 | 0.0035881 |  0.1034632 | 0.1034632 | -4.24386 26.75505 84.74334 -5.38948 
819   | 0.1784 |  0.994 | 0.0035660 |  0.1028269 | 0.1028269 | -4.24406 26.75606 84.74660 -5.38974 
820   | 0.1784 |  0.994 | 0.0035441 |  0.1021946 | 0.1021946 | -4.24425 26.75706 84.74984 -5.38999 
821   | 0.1784 |  0.994 | 0.0035223 |  0.1015661 | 0.1015661 | -4.24444 26.75806 84.75306 -5.39024 
822   | 0.1784 |  0.994 | 0.0035006 |  0.1009416 | 0.1009416 | -4.24463 26.75905 84.75626 -5.39049 
823   | 0.1784 |  0.994 | 0.0034791 |  0.1003208 | 0.1003208 | -4.24482 26.76004 84.75944 -5.39073 
824   | 0.1784 |  0.994 | 0.0034577 |  0.0997039 | 0.0997039 | -4.24501 26.76102 84.76260 -5.39098 
825   | 0.1784 |  0.994 | 0.0034364 |  0.0990908 | 0.0990908 | -4.24520 26.76199 84.76574 -5.39122 
826   | 0.1784 |  0.994 | 0.0034153 |  0.0984814 | 0.0984814 | -4.24539 26.76296 84.76886 -5.39146 
827   | 0.1784 |  0.994 | 0.0033943 |  0.0978758 | 0.0978758 | -4.24557 26.76392 84.77196 -5.39170 
828   | 0.1784 |  0.994 | 0.0033734 |  0.0972740 | 0.0972740 | -4.24576 26.76487 84.77505 -5.39194 
829   | 0.1784 |  0.994 | 0.0033527 |  0.0966758 | 0.0966758 | -4.24594 26.76582 84.77811 -5.39218 
830   | 0.1784 |  0.994 | 0.0033321 |  0.0960813 | 0.0960813 | -4.24612 26.76677 84.78116 -5.39242 
831   | 0.1784 |  0.994 | 0.0033116 |  0.0954904 | 0.0954904 | -4.24630 26.76771 84.78418 -5.39265 
832   | 0.1784 |  0.994 | 0.0032912 |  0.0949032 | 0.0949032 | -4.24648 26.76864 84.78719 -5.39289 
833   | 0.1784 |  0.994 | 0.0032710 |  0.0943196 | 0.0943196 | -4.24666 26.76956 84.79018 -5.39312 
834   | 0.1784 |  0.994 | 0.0032509 |  0.0937396 | 0.0937396 | -4.24684 26.77049 84.79315 -5.39335 
835   | 0.1784 |  0.994 | 0.0032309 |  0.0931631 | 0.0931631 | -4.24701 26.77140 84.79611 -5.39358 
836   | 0.1784 |  0.994 | 0.0032110 |  0.0925902 | 0.0925902 | -4.24719 26.77231 84.79904 -5.39380 
837   | 0.1784 |  0.994 | 0.0031913 |  0.0920209 | 0.0920209 | -4.24736 26.77321 84.80196 -5.39403 
838   | 0.1784 |  0.994 | 0.0031716 |  0.0914550 | 0.0914550 | -4.24753 26.77411 84.80486 -5.39426 
839   | 0.1784 |  0.994 | 0.0031521 |  0.0908926 | 0.0908926 | -4.24771 26.77501 84.80774 -5.39448 
840   | 0.1784 |  0.994 | 0.0031327 |  0.0903337 | 0.0903337 | -4.24788 26.77589 84.81060 -5.39470 
841   | 0.1784 |  0.994 | 0.0031135 |  0.0897782 | 0.0897782 | -4.24805 26.77678 84.81345 -5.39492 
842   | 0.1784 |  0.994 | 0.0030943 |  0.0892261 | 0.0892261 | -4.24821 26.77765 84.81627 -5.39514 
843   | 0.1784 |  0.994 | 0.0030753 |  0.0886774 | 0.0886774 | -4.24838 26.77852 84.81908 -5.39536 
844   | 0.1784 |  0.994 | 0.0030564 |  0.0881321 | 0.0881321 | -4.24855 26.77939 84.82188 -5.39558 
845   | 0.1784 |  0.994 | 0.0030376 |  0.0875901 | 0.0875901 | -4.24871 26.78025 84.82465 -5.39579 
846   | 0.1784 |  0.994 | 0.0030189 |  0.0870515 | 0.0870515 | -4.24888 26.78110 84.82741 -5.39601 
847   | 0.1784 |  0.994 | 0.0030004 |  0.0865161 | 0.0865161 | -4.24904 26.78195 84.83016 -5.39622 
848   | 0.1784 |  0.994 | 0.0029819 |  0.0859841 | 0.0859841 | -4.24921 26.78280 84.83288 -5.39643 
849   | 0.1784 |  0.994 | 0.0029636 |  0.0854554 | 0.0854554 | -4.24937 26.78364 84.83559 -5.39664 
850   | 0.1784 |  0.994 | 0.0029453 |  0.0849299 | 0.0849299 | -4.24953 26.78447 84.83828 -5.39685 
851   | 0.1784 |  0.994 | 0.0029272 |  0.0844076 | 0.0844076 | -4.24969 26.78530 84.84096 -5.39706 
852   | 0.1784 |  0.994 | 0.0029092 |  0.0838885 | 0.0838885 | -4.24985 26.78613 84.84362 -5.39726 
853   | 0.1784 |  0.994 | 0.0028913 |  0.0833727 | 0.0833727 | -4.25000 26.78695 84.84626 -5.39747 
854   | 0.1784 |  0.994 | 0.0028736 |  0.0828600 | 0.0828600 | -4.25016 26.78776 84.84889 -5.39767 
855   | 0.1784 |  0.994 | 0.0028559 |  0.0823504 | 0.0823504 | -4.25032 26.78857 84.85150 -5.39787 
856   | 0.1784 |  0.994 | 0.0028383 |  0.0818440 | 0.0818440 | -4.25047 26.78937 84.85409 -5.39807 
857   | 0.1784 |  0.994 | 0.0028209 |  0.0813407 | 0.0813407 | -4.25062 26.79017 84.85667 -5.39827 
858   | 0.1784 |  0.994 | 0.0028035 |  0.0808405 | 0.0808405 | -4.25078 26.79097 84.85923 -5.39847 
859   | 0.1784 |  0.994 | 0.0027863 |  0.0803434 | 0.0803434 | -4.25093 26.79175 84.86178 -5.39867 
860   | 0.1784 |  0.994 | 0.0027691 |  0.0798493 | 0.0798493 | -4.25108 26.79254 84.86431 -5.39887 
861   | 0.1784 |  0.994 | 0.0027521 |  0.0793583 | 0.0793583 | -4.25123 26.79332 84.86682 -5.39906 
862   | 0.1784 |  0.994 | 0.0027352 |  0.0788703 | 0.0788703 | -4.25138 26.79409 84.86932 -5.39926 
863   | 0.1784 |  0.994 | 0.0027184 |  0.0783853 | 0.0783853 | -4.25153 26.79486 84.87181 -5.39945 
864   | 0.1784 |  0.994 | 0.0027017 |  0.0779033 | 0.0779033 | -4.25167 26.79563 84.87428 -5.39964 
865   | 0.1784 |  0.994 | 0.0026850 |  0.0774242 | 0.0774242 | -4.25182 26.79639 84.87673 -5.39983 
866   | 0.1784 |  0.994 | 0.0026685 |  0.0769481 | 0.0769481 | -4.25197 26.79715 84.87917 -5.40002 
